month,day,average_speed
1,1,14.527029987649732
1,2,13.166084193687764
1,3,12.133455178163477
1,4,12.38999968662098
1,5,12.04684744554907
1,6,12.485905477375265
1,7,12.574665827554377
1,8,12.347657933315851
1,9,11.837166010745953
1,10,11.828208348965912
1,11,11.764363892795426
1,12,11.885191892919536
1,13,12.416215515583074
1,14,12.93935731800532
1,15,13.251871166870185
1,16,12.732910785827078
1,17,11.848752913698558
1,18,11.975539594540429
1,19,12.195429735171828
1,20,12.558938415281856
1,21,13.574284208222135
1,22,12.967236138449827
1,23,12.188347708993575
1,24,11.811284094775965
1,25,11.951806145271805
1,26,12.12334543116985
1,27,12.537197129714002
1,28,13.05555454895017
1,29,12.83348193544558
1,30,12.15965246335546
1,31,12.01845562848553
2,1,11.932875358958762
2,2,11.984797380865311
2,3,12.431158569148565
2,4,12.791529185528711
2,5,13.119743092159617
2,6,12.206297854010826
2,7,11.887033259859175
2,8,11.702166740097116
2,9,12.326374138081144
2,10,11.91446489332216
2,11,12.561750688256915
2,12,12.642122062540368
2,13,11.809917612122213
2,14,11.43781669554378
2,15,11.828986993722399
2,16,12.136962156285232
2,17,12.390882603619271
2,18,13.297180343822232
2,19,13.358998822453154
2,20,13.101863512477458
2,21,12.38310336005414
2,22,12.31187845819894
2,23,12.31691158376815
2,24,12.545450244619781
2,25,12.726619277812512
2,26,12.723199960705692
2,27,12.117617064047629
2,28,11.803552094645086
3,1,11.786603727505321
3,2,11.917083854786448
3,3,12.252912839936013
3,4,12.92638728833643
3,5,12.666362082932286
3,6,11.8576578615591
3,7,12.045216784752235
3,8,11.87822346733688
3,9,11.788582227526176
3,10,12.521562701942488
3,11,12.691503494023287
3,12,12.64011408285996
3,13,11.937289931407202
3,14,12.075186019761075
3,15,11.266563352899082
3,16,11.126064374693676
3,17,11.817750896567821
3,18,12.54269287881377
3,19,12.627717363697096
3,20,11.795546643395124
3,21,12.038651669739977
3,22,12.024752323014257
3,23,11.965434847093691
3,24,12.384115848509751
3,25,12.826916291368914
3,26,12.684079415204867
3,27,12.113231040081681
3,28,11.783693327884398
3,29,11.758533344255966
3,30,12.115939431620282
3,31,11.942957820552051
4,1,12.857064094186473
4,2,12.901073491145821
4,3,12.060495215929949
4,4,12.031759905962673
4,5,11.888977822346686
4,6,12.055901099872662
4,7,12.393729483009615
4,8,12.699137109791215
4,9,12.785072147647874
4,10,12.157939931176188
4,11,12.168996657271235
4,12,11.915025077352537
4,13,11.885018412430862
4,14,12.586522006581266
4,15,12.857026865898588
4,16,12.714089368460769
4,17,12.299437846355115
4,18,11.989052491179827
4,19,11.766058327333267
4,20,11.870587614342783
4,21,12.155044540618414
4,22,12.526694218376342
4,23,12.79973334374895
4,24,12.159444617717194
4,25,11.538140125190893
4,26,11.751006986142134
4,27,11.701998974677485
4,28,11.962806555667177
4,29,12.564627502299198
4,30,12.479247452122648
5,1,11.925665721611026
5,2,11.679874577570779
5,3,11.39266407192775
5,4,11.688133764544817
5,5,11.944486448565632
5,6,12.558918644228864
5,7,12.411446801121317
5,8,11.941694119555839
5,9,11.666266853466903
5,10,11.595288045647846
5,11,11.5189562292551
5,12,11.858580533168833
5,13,12.293869994123376
5,14,12.300624626687174
5,15,11.551359940092091
5,16,11.215276729325204
5,17,11.269298190119912
5,18,11.440513165912721
5,19,11.73092574008136
5,20,12.420892535998663
5,21,12.48775318951288
5,22,11.484103169084143
5,23,11.611638519736292
5,24,11.56250172253885
5,25,11.629146724864501
5,26,12.593572336238736
5,27,13.587153671046092
5,28,13.413622464109833
5,29,12.489965539578987
5,30,11.505441810584943
5,31,11.474754748107058
6,1,11.67934351714136
6,2,12.00348262022655
6,3,12.447161667864123
6,4,12.692856756182758
6,5,11.937193952988773
6,6,11.588320243507221
6,7,11.519567666668674
6,8,11.75325764846863
6,9,12.122185230529018
6,10,12.479423598175243
6,11,12.539448339561066
6,12,11.884390534950679
6,13,11.624552678128216
6,14,11.319093067507795
6,15,11.924930786914288
6,16,12.369951148558188
6,17,12.748659887788495
6,18,12.425972220010255
6,19,11.571481847789373
6,20,11.539454770579393
6,21,11.279843396882681
6,22,11.66420581484804
6,23,12.321505290966563
6,24,12.59643496366533
6,25,12.659681591759904
6,26,11.988556382101663
6,27,11.779635160736786
6,28,11.517136113249238
6,29,11.6574482619859
6,30,12.37264989699684
7,1,13.204027947409436
7,2,13.198711164488573
7,3,12.473280795745762
7,4,14.022761554303159
7,5,12.968854738355484
7,6,12.718038340611326
7,7,12.773757655863909
7,8,13.164095246488362
7,9,12.999940555846017
7,10,12.33717171583581
7,11,12.01764675029787
7,12,11.872213846270038
7,13,12.061250195906059
7,14,12.324651763352088
7,15,13.03339491130811
7,16,12.937700084001216
7,17,12.03250430316822
7,18,12.026147967576506
7,19,11.875664357682371
7,20,12.13404423832854
7,21,12.636135231997248
7,22,12.850989352844984
7,23,13.029844010560188
7,24,12.379889479680864
7,25,12.024053917475968
7,26,11.857846312913209
7,27,11.923254082769445
7,28,12.615486022194144
7,29,13.303280699961118
7,30,13.002278048426874
7,31,12.281946744803028
8,1,12.079692934449346
8,2,11.908809401327472
8,3,12.069365862928736
8,4,12.506626302354286
8,5,13.21774198692145
8,6,13.185174622496266
8,7,12.118885013425679
8,8,12.215662006311405
8,9,12.162574651198277
8,10,12.381883556348217
8,11,12.659488401810554
8,12,13.193809507408796
8,13,13.19099707563061
8,14,12.45618272923575
8,15,12.2884773005765
8,16,12.325940517201099
8,17,12.332699074553313
8,18,12.625835542757818
8,19,13.156845930741918
8,20,13.284669255226271
8,21,13.04499909702257
8,22,12.573077849255592
8,23,12.422046075656885
8,24,12.415048094761731
8,25,12.883430586917736
8,26,13.325016162557663
8,27,13.509742050727729
8,28,12.854334569694942
8,29,12.441321739960182
8,30,12.54790558709652
8,31,12.762690498110754
9,1,13.556271909279085
9,2,14.025235100686064
9,3,13.958677991845617
9,4,13.18756615504828
9,5,12.298152359124845
9,6,11.67941299678988
9,7,11.96778989100014
9,8,12.370811082978527
9,9,12.665189758495321
9,10,12.607548754133367
9,11,12.238568140278565
9,12,11.531210080228927
9,13,11.410333544225068
9,14,11.79241917198428
9,15,12.11393843081899
9,16,12.601756547823207
9,17,12.332953936361623
9,18,11.867441428466933
9,19,12.047976633265943
9,20,11.566153705850507
9,21,12.179603138089876
9,22,12.690134762701028
9,23,12.821044961219423
9,24,12.76369520103772
9,25,11.834557089974078
9,26,11.65573878843164
9,27,11.531016527321993
9,28,11.75012737986003
9,29,12.25452718064193
9,30,12.949950559350125
10,1,12.830401341570697
10,2,11.888357211337961
10,3,11.403958181802546
10,4,11.434112356604835
10,5,11.761595336860493
10,6,12.301726447455783
10,7,12.772162374023573
10,8,13.227594593144246
10,9,12.697300080709702
10,10,11.608119918127871
10,11,11.507342154677367
10,12,11.823128965503347
10,13,12.447286613977285
10,14,13.007264890862803
10,15,12.698557996201803
10,16,11.747277699332905
10,17,11.665378258978343
10,18,11.490222275783475
10,19,11.667515178970955
10,20,12.038507354394287
10,21,12.716135167447552
10,22,12.673765401844095
10,23,11.87825596937719
10,24,11.67594155444265
10,25,11.61290250730347
10,26,11.707143972152151
10,27,12.111869261308996
10,28,12.645353317357914
10,29,12.368059185744842
10,30,11.657716773534107
10,31,11.682211894092585
11,1,11.726724771301852
11,2,11.819409902793062
11,3,12.01956579398291
11,4,12.542887028353737
11,5,12.413931386828608
11,6,11.800208956561354
11,7,11.476945026387
11,8,11.538628229463841
11,9,11.45624653121482
11,10,12.205200025845674
11,11,12.777150635998746
11,12,12.87130128036078
11,13,11.696251700912622
11,14,11.589694232929286
11,15,11.15985168062959
11,16,11.596295481660494
11,17,11.971764878906946
11,18,12.3941209132146
11,19,12.349027529924369
11,20,11.462407744161066
11,21,11.162459518069095
11,22,11.961624440144721
11,23,13.566943386784496
11,24,13.340572716954386
11,25,13.054605691554562
11,26,12.209117858706598
11,27,11.786488280749573
11,28,12.182963525020861
11,29,11.891555327779935
11,30,11.734509546860838
