year,month,day,hospital
2009,11,7,347
2009,11,8,296
2009,11,9,456
2009,11,10,471
2009,11,11,427
2009,11,12,500
2009,11,13,507
2009,11,14,386
2009,11,15,262
2009,11,16,471
2009,11,17,453
2009,11,18,507
2009,11,19,552
2009,11,20,509
2009,11,21,353
2009,11,22,283
2009,11,23,471
2009,11,24,481
2009,11,25,493
2009,11,26,261
2009,11,27,271
2009,11,28,281
2009,11,29,268
2009,11,30,435
2009,12,1,480
2009,12,2,514
2009,12,3,490
2009,12,4,491
2009,12,5,383
2009,12,6,304
2009,12,7,479
2009,12,8,456
2009,12,9,496
2009,12,10,563
2009,12,11,584
2009,12,12,352
2009,12,13,319
2009,12,14,468
2009,12,15,509
2009,12,16,555
2009,12,17,589
2009,12,18,539
2009,12,19,351
2009,12,20,224
2009,12,21,405
2009,12,22,447
2009,12,23,428
2009,12,24,344
2009,12,25,281
2009,12,26,238
2009,12,27,207
2009,12,28,344
2009,12,29,386
2009,12,30,431
2009,12,31,402
2010,1,1,323
2010,1,2,301
2010,1,3,299
2010,1,4,458
2010,1,5,531
2010,1,6,480
2010,1,7,509
2010,1,8,539
2010,1,9,424
2010,1,10,314
2010,1,11,519
2010,1,12,514
2010,1,13,483
2010,1,14,429
2010,1,15,474
2010,1,16,307
2010,1,17,349
2010,1,18,284
2010,1,19,496
2010,1,20,528
2010,1,21,477
2010,1,22,522
2010,1,23,388
2010,1,24,325
2010,1,25,454
2010,1,26,484
2010,1,27,533
2010,1,28,498
2010,1,29,541
2010,1,30,373
2010,1,31,351
2010,2,1,223
2010,2,2,204
2010,2,3,219
2010,2,4,224
2010,2,5,260
2010,2,6,149
2010,2,7,172
2010,2,8,450
2010,2,9,486
2010,2,10,315
2010,2,11,434
2010,2,12,455
2010,2,13,367
2010,2,14,323
2010,2,15,283
2010,2,16,461
2010,2,17,485
2010,2,18,471
2010,2,19,528
2010,2,20,350
2010,2,21,326
2010,2,22,447
2010,2,23,531
2010,2,24,487
2010,2,25,462
2010,2,26,305
2010,2,27,350
2010,2,28,282
2010,3,1,217
2010,3,2,253
2010,3,3,232
2010,3,4,257
2010,3,5,224
2010,3,6,186
2010,3,7,153
2010,3,8,472
2010,3,9,521
2010,3,10,476
2010,3,11,475
2010,3,12,500
2010,3,13,407
2010,3,14,309
2010,3,15,448
2010,3,16,446
2010,3,17,486
2010,3,18,491
2010,3,19,439
2010,3,20,309
2010,3,21,362
2010,3,22,457
2010,3,23,475
2010,3,24,494
2010,3,25,461
2010,3,26,491
2010,3,27,338
2010,3,28,327
2010,3,29,427
2010,3,30,415
2010,3,31,411
2010,4,1,452
2010,4,2,460
2010,4,3,326
2010,4,4,271
2010,4,5,420
2010,4,6,444
2010,4,7,473
2010,4,8,483
2010,4,9,504
2010,4,10,357
2010,4,11,274
2010,4,12,452
2010,4,13,521
2010,4,14,479
2010,4,15,514
2010,4,16,570
2010,4,17,336
2010,4,18,289
2010,4,19,474
2010,4,20,497
2010,4,21,509
2010,4,22,481
2010,4,23,528
2010,4,24,379
2010,4,25,346
2010,4,26,534
2010,4,27,515
2010,4,28,482
2010,4,29,485
2010,4,30,531
2010,5,1,355
2010,5,2,322
2010,5,3,481
2010,5,4,485
2010,5,5,554
2010,5,6,561
2010,5,7,480
2010,5,8,364
2010,5,9,350
2010,5,10,450
2010,5,11,497
2010,5,12,585
2010,5,13,485
2010,5,14,482
2010,5,15,359
2010,5,16,320
2010,5,17,506
2010,5,18,524
2010,5,19,517
2010,5,20,468
2010,5,21,470
2010,5,22,379
2010,5,23,294
2010,5,24,518
2010,5,25,507
2010,5,26,487
2010,5,27,515
2010,5,28,488
2010,5,29,288
2010,5,30,241
2010,5,31,246
2010,6,1,477
2010,6,2,436
2010,6,3,494
2010,6,4,470
2010,6,5,337
2010,6,6,367
2010,6,7,465
2010,6,8,476
2010,6,9,525
2010,6,10,442
2010,6,11,453
2010,6,12,323
2010,6,13,265
2010,6,14,437
2010,6,15,503
2010,6,16,526
2010,6,17,462
2010,6,18,474
2010,6,19,286
2010,6,20,261
2010,6,21,458
2010,6,22,497
2010,6,23,537
2010,6,24,508
2010,6,25,506
2010,6,26,350
2010,6,27,282
2010,6,28,479
2010,6,29,492
2010,6,30,491
2010,7,1,508
2010,7,2,388
2010,7,3,219
2010,7,4,236
2010,7,5,240
2010,7,6,440
2010,7,7,496
2010,7,8,508
2010,7,9,456
2010,7,10,334
2010,7,11,287
2010,7,12,510
2010,7,13,485
2010,7,14,511
2010,7,15,483
2010,7,16,466
2010,7,17,360
2010,7,18,304
2010,7,19,434
2010,7,20,468
2010,7,21,507
2010,7,22,461
2010,7,23,484
2010,7,24,333
2010,7,25,324
2010,7,26,384
